Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
18:30 - 20:00,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 30m,12:55 - 14:20,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£80
18:30 - 20:00,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 30m,19:30 - 20:55,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£80
18:30 - 20:00,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 30m,11:30 - 13:00,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 30m,£84
18:30 - 20:00,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 30m,11:55 - 13:30,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 35m,£84
06:20 - 07:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,12:55 - 14:20,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£88
06:20 - 07:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,19:30 - 20:55,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£88
17:00 - 18:25,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,19:30 - 20:55,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£90
17:00 - 18:25,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,12:55 - 14:20,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£90
10:20 - 11:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,19:30 - 20:55,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£90
10:20 - 11:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,12:55 - 14:20,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 25m,£90
06:20 - 07:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,11:30 - 13:00,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 30m,£92
06:20 - 07:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,11:55 - 13:30,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 35m,£92
10:20 - 11:45,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,11:30 - 13:00,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 30m,£94
17:00 - 18:25,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,11:30 - 13:00,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 30m,£94
17:00 - 18:25,LHR Heathrow,N/A,British Airways,EDI Turnhouse,direct,1h 25m,11:55 - 13:30,EDI Turnhouse,N/A,British Airways,LHR Heathrow,direct,1h 35m,£94
