Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
19:05 – 21:55,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 50m,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
19:05 – 21:55,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 50m,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
19:05 – 21:55,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 50m,19:30 – 20:25,BER Brandenburg,LHR Heathrow,direct,1h 55m
19:05 – 21:55,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 50m,12:30 – 13:30,BER Brandenburg,LHR Heathrow,direct,2h 00m
15:55 – 18:50,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 55m,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
15:55 – 18:50,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 55m,19:30 – 20:25,BER Brandenburg,LHR Heathrow,direct,1h 55m
15:55 – 18:50,LHR Heathrow,British Airways,BER Brandenburg,direct,1h 55m,12:30 – 13:30,BER Brandenburg,LHR Heathrow,direct,2h 00m
19:05 – 21:55,LHR Heathrow,"British Airways, Iberia",BER Brandenburg,direct,1h 50m,11:50 – 18:55,BER Brandenburg,LHR Heathrow,1 stop,MAD
19:05 – 21:55,LHR Heathrow,"British Airways, Iberia",BER Brandenburg,direct,1h 50m,07:20 – 14:55,BER Brandenburg,LHR Heathrow,1 stop,MAD
19:05 – 21:55,LHR Heathrow,"British Airways, Eurowings",BER Brandenburg,direct,1h 50m,16:10 – 19:05,BER Brandenburg,LHR Heathrow,1 stop,CGN
19:05 – 21:55,LHR Heathrow,"British Airways, Eurowings",BER Brandenburg,direct,1h 50m,08:10 – 15:00,BER Brandenburg,LHR Heathrow,1 stop,DUS
08:45 – 13:40,LHR Heathrow,"Eurowings, British Airways",BER Brandenburg,1 stop,STR,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
08:45 – 13:40,LHR Heathrow,"Eurowings, British Airways",BER Brandenburg,1 stop,STR,19:30 – 20:25,BER Brandenburg,LHR Heathrow,direct,1h 55m
08:45 – 17:05,LHR Heathrow,"Eurowings, British Airways",BER Brandenburg,1 stop,STR,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
08:45 – 17:05,LHR Heathrow,"Eurowings, British Airways",BER Brandenburg,1 stop,STR,19:30 – 20:25,BER Brandenburg,LHR Heathrow,direct,1h 55m
09:45 – 17:20,LHR Heathrow,"Eurowings, British Airways",BER Brandenburg,1 stop,CGN,06:50 – 07:55,BER Brandenburg,LHR Heathrow,direct,2h 05m
