Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
17:50 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,09:45 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,19:50 – 09:35 +1,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,12:15 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,05:50 – 13:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
10:25 – 19:15,LHR Heathrow,"LOT, British Airways",BUD Ferenc Liszt Intl,1 stop,WAW,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
17:35 – 23:10,LHR Heathrow,"Air France, British Airways",BUD Ferenc Liszt Intl,1 stop,CDG,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,17:05 – 20:50,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
17:05 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 16:05,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 17:00,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,06:30 – 10:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
06:30 – 12:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
