Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
07:10 – 11:25,LHR Heathrow,British Airways,ACE Lanzarote,direct,4h 15m,12:15 – 16:15,ACE Lanzarote,LHR Heathrow,direct,4h 00m
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,07:05 – 18:55,ACE Lanzarote,LHR Heathrow,1 stop,MAD
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,07:05 – 14:55,ACE Lanzarote,LHR Heathrow,1 stop,MAD
07:10 – 11:25,LHR Heathrow,British Airways,ACE Lanzarote,direct,4h 15m,13:55 – 22:15,ACE Lanzarote,LHR Heathrow,1 stop,MAD
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,13:55 – 22:15,ACE Lanzarote,LHR Heathrow,1 stop,MAD
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,07:05 – 18:55,ACE Lanzarote,LHR Heathrow,1 stop,MAD
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,07:05 – 17:15,ACE Lanzarote,LHR Heathrow,1 stop,MAD
15:45 – 22:30,LHR Heathrow,"Iberia, British Airways",ACE Lanzarote,1 stop,MAD,12:15 – 16:15,ACE Lanzarote,LHR Heathrow,direct,4h 00m
07:10 – 11:25,LHR Heathrow,Multiple Airlines,ACE Lanzarote,direct,4h 15m,07:00 – 17:15,ACE Lanzarote,LHR Heathrow,2 stops,"LPA, MAD"
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,07:05 – 13:30,ACE Lanzarote,LHR Heathrow,1 stop,MAD
11:25 – 22:30,LHR Heathrow,"Iberia, British Airways",ACE Lanzarote,1 stop,MAD,12:15 – 16:15,ACE Lanzarote,LHR Heathrow,direct,4h 00m
10:30 – 22:30,LHR Heathrow,"Iberia, British Airways",ACE Lanzarote,1 stop,MAD,12:15 – 16:15,ACE Lanzarote,LHR Heathrow,direct,4h 00m
12:55 – 22:30,LHR Heathrow,"Iberia, British Airways",ACE Lanzarote,1 stop,MAD,12:15 – 16:15,ACE Lanzarote,LHR Heathrow,direct,4h 00m
07:10 – 11:25,LHR Heathrow,"British Airways, Iberia",ACE Lanzarote,direct,4h 15m,08:15 – 18:55,ACE Lanzarote,LHR Heathrow,2 stops,"LPA, MAD"
07:10 – 11:25,LHR Heathrow,Multiple Airlines,ACE Lanzarote,direct,4h 15m,08:25 – 18:55,ACE Lanzarote,LHR Heathrow,2 stops,"TFN, MAD"
