Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
12:15 – 09:45 +1,LHR Heathrow,"Icelandair, Spirit Airlines",LAS McCarran,2 stops,"KEF, MCO",22:30 – 10:50 +2,LAS McCarran,LHR Heathrow,3 stops,"FLL, MCO, ..."
11:30 – 14:30,LHR Heathrow,KLM,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
11:30 – 14:30,LHR Heathrow,Air France,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
11:30 – 14:30,LHR Heathrow,"KLM, Air France",LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,13:03 – 12:35 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
14:00 – 23:46,LHR Heathrow,Finnair,LAS McCarran,1 stop,JFK,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,14:10 – 10:45 +1,LAS McCarran,LHR Heathrow,1 stop,ATL
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,18:55 – 15:55 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,14:00 – 11:05 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,12:25 – 09:50 +1,LAS McCarran,LHR Heathrow,1 stop,JFK
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,22:10 – 20:05 +1,LAS McCarran,LHR Heathrow,1 stop,JFK
11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,10:25 – 09:00 +1,LAS McCarran,LHR Heathrow,1 stop,BOS
