Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
17:55 – 15:25 +1,LHR Heathrow,Lufthansa,LAX Los Angeles,1 stop,MUC,17:15 – 17:05 +1,LAX Los Angeles,LHR Heathrow,1 stop,MUC
10:40 – 13:55,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
16:35 – 19:50,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
16:35 – 19:50,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:40 – 13:55,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:40 – 13:55,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
16:35 – 19:50,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
16:35 – 19:50,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
10:40 – 13:55,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
16:35 – 19:50,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:40 – 13:55,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:40 – 13:55,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
16:35 – 19:50,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:15 – 13:40,LHR Heathrow,Finnair,LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:15 – 13:40,LHR Heathrow,"Finnair, Iberia",LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
10:15 – 13:40,LHR Heathrow,"Finnair, British Airways",LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
