Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
09:00 – 13:25,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 25m,17:55 – 22:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
09:00 – 13:25,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 25m,17:55 – 22:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
06:00 – 13:30,LHR Heathrow,TAP AIR PORTUGAL,TFS Tenerife-Sur,1 stop,LIS,14:15 – 21:35,TFS Tenerife-Sur,LHR Heathrow,1 stop,LIS
09:20 – 13:50,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 30m,17:55 – 22:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
09:00 – 13:25,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 25m,13:55 – 18:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
09:20 – 13:50,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 30m,13:55 – 18:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
06:00 – 13:30,LHR Heathrow,"TAP AIR PORTUGAL, British Airways",TFS Tenerife-Sur,1 stop,LIS,17:55 – 22:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
06:00 – 13:30,LHR Heathrow,"TAP AIR PORTUGAL, British Airways",TFS Tenerife-Sur,1 stop,LIS,13:55 – 18:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
09:00 – 13:25,LHR Heathrow,"British Airways, TAP AIR PORTUGAL",TFS Tenerife-Sur,direct,4h 25m,14:15 – 22:40,TFS Tenerife-Sur,LHR Heathrow,1 stop,LIS
08:05 – 15:25,LHR Heathrow,"Eurowings, British Airways",TFS Tenerife-Sur,1 stop,DUS,17:55 – 22:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
08:05 – 15:25,LHR Heathrow,"Eurowings, British Airways",TFS Tenerife-Sur,1 stop,DUS,13:55 – 18:20,TFS Tenerife-Sur,LHR Heathrow,direct,4h 25m
09:00 – 13:25,LHR Heathrow,"British Airways, Iberia",TFS Tenerife-Sur,direct,4h 25m,11:10 – 18:55,TFN Tenerife-Norte,LHR Heathrow,1 stop,MAD
09:20 – 13:50,LHR Heathrow,"British Airways, Iberia",TFS Tenerife-Sur,direct,4h 30m,11:10 – 18:55,TFN Tenerife-Norte,LHR Heathrow,1 stop,MAD
09:00 – 13:25,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 25m,11:10 – 17:15,TFN Tenerife-Norte,LHR Heathrow,1 stop,MAD
09:20 – 13:50,LHR Heathrow,British Airways,TFS Tenerife-Sur,direct,4h 30m,11:10 – 17:15,TFN Tenerife-Norte,LHR Heathrow,1 stop,MAD
09:00 – 13:25,LHR Heathrow,"British Airways, Iberia",TFS Tenerife-Sur,direct,4h 25m,21:40 – 10:35 +1,TFS Tenerife-Sur,LHR Heathrow,1 stop,MAD
