Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
08:40 - 14:10,LHR Heathrow,AMS,KLM,LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,KLM,LHR Heathrow,direct,9h 55m,£434
11:40 - 14:30,LHR Heathrow,N/A,Virgin Atlantic,LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,Virgin Atlantic,LHR Heathrow,direct,9h 55m,£428
06:00 - 23:42,LHR Heathrow,LIS,United Airlines,LAS Harry Reid Intl,2 stops,25h 42m,20:10 - 10:15,LAS Harry Reid Intl,LIS,United Airlines,LHR Heathrow,2 stops,30h 05m,£334
11:40 - 14:30,LHR Heathrow,N/A,KLM,LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,KLM,LHR Heathrow,direct,9h 55m,£469
11:40 - 14:30,LHR Heathrow,N/A,"Virgin Atlantic, KLM",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"Virgin Atlantic, KLM",LHR Heathrow,direct,9h 55m,£468
11:40 - 14:30,LHR Heathrow,N/A,"Virgin Atlantic, Air France",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"Virgin Atlantic, Air France",LHR Heathrow,direct,9h 55m,£470
11:40 - 14:30,LHR Heathrow,N/A,Air France,LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,Air France,LHR Heathrow,direct,9h 55m,£473
11:40 - 14:30,LHR Heathrow,N/A,"KLM, Virgin Atlantic",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"KLM, Virgin Atlantic",LHR Heathrow,direct,9h 55m,£475
11:40 - 14:30,LHR Heathrow,N/A,"Air France, Virgin Atlantic",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"Air France, Virgin Atlantic",LHR Heathrow,direct,9h 55m,£477
11:40 - 14:30,LHR Heathrow,N/A,"Air France, KLM",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"Air France, KLM",LHR Heathrow,direct,9h 55m,£485
11:40 - 14:30,LHR Heathrow,N/A,"KLM, Air France",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"KLM, Air France",LHR Heathrow,direct,9h 55m,£484
11:40 - 14:30,LHR Heathrow,N/A,"KLM, Delta",LAS Harry Reid Intl,direct,10h 50m,16:20 - 10:15,LAS Harry Reid Intl,N/A,"KLM, Delta",LHR Heathrow,direct,9h 55m,£489
08:40 - 14:10,LHR Heathrow,AMS,Virgin Atlantic,LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,Virgin Atlantic,LHR Heathrow,direct,9h 55m,£409
08:40 - 14:10,LHR Heathrow,AMS,KLM,LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,KLM,LHR Heathrow,direct,9h 55m,£450
08:40 - 14:10,LHR Heathrow,AMS,"KLM, Air France",LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,"KLM, Air France",LHR Heathrow,direct,9h 55m,£450
08:40 - 14:10,LHR Heathrow,AMS,"KLM, Virgin Atlantic",LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,"KLM, Virgin Atlantic",LHR Heathrow,direct,9h 55m,£448
08:40 - 14:10,LHR Heathrow,AMS,"Virgin Atlantic, KLM",LAS Harry Reid Intl,1 stop,13h 30m,16:20 - 10:15,LAS Harry Reid Intl,AMS,"Virgin Atlantic, KLM",LHR Heathrow,direct,9h 55m,£455
