Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
20:20 - 22:40,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 20m,20:35 - 20:45,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 10m,£87
20:20 - 22:40,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 20m,20:35 - 20:45,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 10m,£87
17:20 - 19:45,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 25m,20:35 - 20:45,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 10m,£87
20:20 - 22:40,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 20m,07:00 - 07:25,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 25m,£87
17:20 - 19:45,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 25m,07:00 - 07:25,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 25m,£87
20:20 - 22:40,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 20m,16:10 - 16:25,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 15m,£95
17:20 - 19:45,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 25m,16:10 - 16:25,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 15m,£95
20:20 - 22:40,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 20m,11:50 - 12:10,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 20m,£102
17:20 - 19:45,LHR Heathrow,N/A,British Airways,CDG Charles de Gaulle,direct,1h 25m,11:50 - 12:10,CDG Charles de Gaulle,N/A,British Airways,LHR Heathrow,direct,1h 20m,£102
14:45 - 17:05,LHR Heathrow,N/A,"Air France, British Airways",CDG Charles de Gaulle,direct,1h 20m,20:35 - 20:45,CDG Charles de Gaulle,N/A,"Air France, British Airways",LHR Heathrow,direct,1h 10m,£128
14:45 - 17:05,LHR Heathrow,N/A,Air France,CDG Charles de Gaulle,direct,1h 20m,13:15 - 13:45,CDG Charles de Gaulle,N/A,Air France,LHR Heathrow,direct,1h 30m,£114
14:45 - 17:05,LHR Heathrow,N/A,"Air France, British Airways",CDG Charles de Gaulle,direct,1h 20m,07:00 - 07:25,CDG Charles de Gaulle,N/A,"Air France, British Airways",LHR Heathrow,direct,1h 25m,£132
14:45 - 17:05,LHR Heathrow,N/A,Air France,CDG Charles de Gaulle,direct,1h 20m,21:00 - 21:25,CDG Charles de Gaulle,N/A,Air France,LHR Heathrow,direct,1h 25m,£122
20:20 - 22:40,LHR Heathrow,N/A,"British Airways, Air France",CDG Charles de Gaulle,direct,1h 20m,13:15 - 13:45,CDG Charles de Gaulle,N/A,"British Airways, Air France",LHR Heathrow,direct,1h 30m,£134
17:20 - 19:45,LHR Heathrow,N/A,"British Airways, Air France",CDG Charles de Gaulle,direct,1h 25m,13:15 - 13:45,CDG Charles de Gaulle,N/A,"British Airways, Air France",LHR Heathrow,direct,1h 30m,£134
14:45 - 17:05,LHR Heathrow,N/A,"Air France, British Airways",CDG Charles de Gaulle,direct,1h 20m,16:10 - 16:25,CDG Charles de Gaulle,N/A,"Air France, British Airways",LHR Heathrow,direct,1h 15m,£138
