Origin-Flight,Origin-Airport,Origin-Layover,Origin-Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Layover,Return-Airline,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration,Price
14:10 - 17:05,LHR Heathrow,N/A,Smartwings,PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,Smartwings,LHR Heathrow,direct,2h 10m,£80
14:10 - 17:05,LHR Heathrow,N/A,Smartwings,PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,Smartwings,LHR Heathrow,direct,2h 10m,£72
07:10 - 10:05,LHR Heathrow,N/A,British Airways,PRG Václav Havel Prague,direct,1h 55m,07:10 - 08:20,PRG Václav Havel Prague,N/A,British Airways,LHR Heathrow,direct,2h 10m,£83
19:35 - 22:35,LHR Heathrow,N/A,British Airways,PRG Václav Havel Prague,direct,2h 00m,07:10 - 08:20,PRG Václav Havel Prague,N/A,British Airways,LHR Heathrow,direct,2h 10m,£89
07:10 - 10:05,LHR Heathrow,N/A,British Airways,PRG Václav Havel Prague,direct,1h 55m,11:00 - 12:15,PRG Václav Havel Prague,N/A,British Airways,LHR Heathrow,direct,2h 15m,£104
14:10 - 17:05,LHR Heathrow,N/A,"Czech Airlines, Smartwings",PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,"Czech Airlines, Smartwings",LHR Heathrow,direct,2h 10m,£147
14:10 - 17:05,LHR Heathrow,N/A,"Smartwings, Czech Airlines",PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,"Smartwings, Czech Airlines",LHR Heathrow,direct,2h 10m,£137
19:35 - 22:35,LHR Heathrow,N/A,British Airways,PRG Václav Havel Prague,direct,2h 00m,11:00 - 12:15,PRG Václav Havel Prague,N/A,British Airways,LHR Heathrow,direct,2h 15m,£112
14:10 - 17:05,LHR Heathrow,N/A,Czech Airlines,PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,Czech Airlines,LHR Heathrow,direct,2h 10m,£133
07:10 - 10:05,LHR Heathrow,N/A,"British Airways, Smartwings",PRG Václav Havel Prague,direct,1h 55m,12:15 - 13:25,PRG Václav Havel Prague,N/A,"British Airways, Smartwings",LHR Heathrow,direct,2h 10m,£93
14:10 - 17:05,LHR Heathrow,N/A,"Smartwings, British Airways",PRG Václav Havel Prague,direct,1h 55m,07:10 - 08:20,PRG Václav Havel Prague,N/A,"Smartwings, British Airways",LHR Heathrow,direct,2h 10m,£95
19:35 - 22:35,LHR Heathrow,N/A,"British Airways, Smartwings",PRG Václav Havel Prague,direct,2h 00m,12:15 - 13:25,PRG Václav Havel Prague,N/A,"British Airways, Smartwings",LHR Heathrow,direct,2h 10m,£100
17:05 - 22:15,LHR Heathrow,AMS,"KLM, Smartwings",PRG Václav Havel Prague,1 stop,4h 10m,12:15 - 13:25,PRG Václav Havel Prague,AMS,"KLM, Smartwings",LHR Heathrow,direct,2h 10m,£115
14:10 - 17:05,LHR Heathrow,N/A,"Smartwings, British Airways",PRG Václav Havel Prague,direct,1h 55m,11:00 - 12:15,PRG Václav Havel Prague,N/A,"Smartwings, British Airways",LHR Heathrow,direct,2h 15m,£122
11:45 - 17:40,LHR Heathrow,AMS,"KLM, Smartwings",PRG Václav Havel Prague,1 stop,4h 55m,12:15 - 13:25,PRG Václav Havel Prague,AMS,"KLM, Smartwings",LHR Heathrow,direct,2h 10m,£115
06:30 - 13:40,LHR Heathrow,AMS,"KLM, British Airways",PRG Václav Havel Prague,1 stop,6h 10m,07:10 - 08:20,PRG Václav Havel Prague,AMS,"KLM, British Airways",LHR Heathrow,direct,2h 10m,£121
