Titles,Ratings,Number_Of_Ratings,Prices,Durations,Star_Ratings,Tour_Provider
Berlin Gov District Walking Tour & Reichstag Visit with Dome,Excellent,7732 ratings,£13,1 hour,5,GetYourGuide
Berlin TV Tower: Fast View & Window Seat Restaurant Ticket,Excellent,4343 ratings,£22,1-2 hours,5,GetYourGuide
Berlin: Reichstag Dome & Government District,Excellent,3969 ratings,£13,2-3 hours,5,GetYourGuide
Discover Berlin Half-Day Walking Tour,Excellent,3764 ratings,£13,3-4 hours,5,Viator
Berlin: Reichstag with Plenary Chamber & Cupola in German,Excellent,3139 ratings,£12,2-3 hours,5,GetYourGuide
3-Hour East Berlin Walking Tour,Excellent,2679 ratings,£14,3 hours,5,Viator
Discover Berlin Walking Tour,Excellent,1941 ratings,£17,2 hours,5,GetYourGuide
Explore Berlin: Top Attractions Walking Tour,Excellent,1873 ratings,£16,3 hours,5,Viator
Sachsenhausen-Oranienburg Memorial Tour From Berlin,Excellent,1833 ratings,£19,5-6 hours,5,Viator
Sachsenhausen Concentration Camp Memorial Tour from Berlin,Excellent,1562 ratings,£21,6 hours,5,Viator
Berlin: 75-minute Trabi Safari,Excellent,1295 ratings,£50,1 hour,5,GetYourGuide
Sachsenhausen Concentration Camp Memorial Walking Tour,Excellent,1143 ratings,£25,6 hours,5,Viator
Skip the Line: Neues Museum Berlin Ticket,Excellent,950 ratings,£10,No data provided,5,GetYourGuide
"Berlin: 'Hitler, How Could It Happen' & Berlin Story Museum",Excellent,912 ratings,£10,Safety measures,5,GetYourGuide
Berlin Bike Tour,Excellent,754 ratings,£47,6-7 hours,5,Viator
Rude Bastards tour of Berlin,Excellent,730 ratings,£3,3 hours,5,Viator
Priority Seating: Hard Rock Cafe Berlin,Excellent,728 ratings,£17,1 hour,5,GetYourGuide
Berlin Third Reich Half-Day Walkingtour,Excellent,685 ratings,£14,2-3 hours,5,Viator
Berlin's Infamous Third Reich Sites Half-Day Walking Tour,Excellent,635 ratings,£17,4 hours,5,Viator
Berlin TV Tower: Fast View Entry with 3-Course Dinner,Excellent,595 ratings,£90,1-2 hours,5,GetYourGuide
Berlin: Small-Group Third Reich and Cold War Walking Tour,Excellent,553 ratings,£16,2 hours,5,GetYourGuide
Cold War Walking Tour of Berlin,Excellent,449 ratings,£16,3 hours,5,Viator
Dresden Day Trip from Berlin With Guided Dresden Walking Tour,Excellent,438 ratings,£50,10 hours,5,Viator
Third Reich Berlin WalkingTour - Hitler and WWII,Excellent,436 ratings,£16,3 hours,5,Viator
Berlin Icebar Experience Including 3 Drinks,Excellent,419 ratings,£17,1 hour,5,Viator
Berlin: 2-Hour Sightseeing Tour in classic VW Bus,Excellent,389 ratings,£33,2 hours,5,GetYourGuide
Berlin: 3-Hour Street Art Tour,Excellent,358 ratings,£17,3 hours,5,GetYourGuide
"Berlin Off-the-Beaten-Path Walking Tour: Kreuzberg, Mitte and Friedrichshain",Excellent,346 ratings,£17,4-5 hours,5,Viator
Berlin Segway Tour,Excellent,331 ratings,£57,3 hours,5,GetYourGuide
Secret Food Tours East Berlin w/ Private Tour Option,Excellent,326 ratings,£202,3 hours,5,Viator
Berlin Small-Group Segway Tour,Excellent,325 ratings,£62,3 hours,5,Viator
Berlin: 2.5-Hour Walking Tour through Kreuzberg 61,Excellent,307 ratings,£14,2-3 hours,5,GetYourGuide
Berlin: Hidden Backyards Small-Group Walking Tour,Excellent,302 ratings,£17,2 hours,5,GetYourGuide
Discover Potsdam,Excellent,283 ratings,£19,6 hours,5,Viator
Berlin: Highlights of Berlin Walking Shared or Private Tour,Excellent,266 ratings,£16,3 hours,5,GetYourGuide
Berlin Self-Drive Trabi Tour with Guide,Excellent,253 ratings,£45,1 hour,5,Viator
"Prenzlauer Berg Tour: Kulturbrauerei, Kollwitzplatz & More",Excellent,206 ratings,£14,2-3 hours,5,GetYourGuide
Berlin: Haunted Guided Live Theatre Tour in German,Excellent,199 ratings,£12,1-2 hours,5,GetYourGuide
Berlin: A Third Reich Walking Tour,Excellent,189 ratings,£16,3 hours,5,GetYourGuide
Berlin: ARISE Grand Show at the Friedrichstadt-Palast,Excellent,187 ratings,£34,2-3 hours,5,GetYourGuide
Berlin Historical Highlights Walking Tour,Excellent,186 ratings,£15,3-4 hours,5,GetYourGuide
"Berlin: ""Pergamonmuseum. The Panorama"" Exhibition Tickets",Excellent,183 ratings,£10,Safety measures,5,GetYourGuide
Berlin: Guided Bike Tour of the Berlin Wall and Third Reich,Excellent,175 ratings,£22,3 hours,5,GetYourGuide
Berlin: Sightseeing Tour in a Mini Hotrod,Excellent,173 ratings,£66,1 hour,5,GetYourGuide
Sachsenhausen Memorial Guided Walking Tour in Berlin,Excellent,171 ratings,£18,6 hours,5,Viator
Storyline of Berlin Walking Tour by Lonely Planet Experiences,Excellent,162 ratings,£49,4 hours,5,Viator
ARISE Grand Show at Friedrichstadt-Palast in Berlin,Excellent,157 ratings,£47,2-3 hours,5,Viator
Berlin 2-Hour Segway Tour,Excellent,155 ratings,£42,2 hours,5,GetYourGuide
Berlin: Sightseeing City Tour of the Top 20 Attractions,Excellent,151 ratings,£51,3 hours,5,GetYourGuide
