Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
Paris: Musée d'Orsay 1-Day Ticket with Reserved Access,Excellent,5430 ratings,£14,Safety measures,GetYourGuide
Paris: Skip-the-Line Arc de Triomphe Rooftop Tickets,Excellent,4470 ratings,£11,Safety measures,GetYourGuide
Louvre Museum Skip-the-Line Guided Tour with Venus de Milo & Mona Lisa,Excellent,3971 ratings,£48,3 hours,Viator
Skip the Line: Eiffel Tower Tickets and Small-Group Tour,Excellent,3898 ratings,£59,2 hours,Viator
Paris: Moulin Rouge Cabaret Show Ticket with Champagne,Excellent,3442 ratings,£77,2 hours,GetYourGuide
Paris: Louvre Museum Timed-Entrance Ticket and Audioguide,Excellent,2761 ratings,£22,Safety measures,GetYourGuide
Versailles Day Bike Tour from Paris,Excellent,1679 ratings,£84,9 hours,Viator
Paris City Sightseeing Half Day Segway Guided Tour,Excellent,1097 ratings,£50,2 hours,Viator
Paris: Lido Cabaret Show With Champagne,Excellent,950 ratings,£72,2 hours,GetYourGuide
Paris: 2-Hour River Seine Lunch Cruise,Excellent,856 ratings,£59,2 hours,GetYourGuide
Skip-the-Line: Paris Catacombs Tour with VIP Access to Restricted Areas,Excellent,809 ratings,£67,2 hours,Viator
Loire Valley Chambord & Chenonceau Castles Day Trip with Wine Tasting from Paris,Excellent,788 ratings,£114,12 hours,Viator
Eiffel Tower Climbing Experience with Guide and Optional Summit Upgrade,Excellent,780 ratings,£27,2-3 hours,Viator
Versailles Bike Tour with Skip-the-Line Entrance to Palace,Excellent,745 ratings,£84,8 hours,Viator
Paris Secret Food Tour: Taste of Montmartre with Private Tour Option,Excellent,742 ratings,£81,3 hours,Viator
Montmartre District Walking Tour in Paris,Excellent,685 ratings,£14,2 hours,Viator
Orangerie Reserved Entrance Ticket,Excellent,629 ratings,£11,Safety measures,GetYourGuide
Paris Sightseeing Guided Bike Tour Like a Parisian with a Local Guide,Excellent,622 ratings,£29,4 hours,Viator
Paris by Night City of Lights Sightseeing Guided Bike Tour,Excellent,617 ratings,£37,4 hours,Viator
"Normandy D-Day Small-Group Day Trip with Omaha Beach, Cemetery & Cider Tasting",Excellent,592 ratings,£179,12 hours,Viator
Bateaux Parisiens Seine River Gourmet Lunch & Sightseeing Cruise,Excellent,564 ratings,£62,2 hours,Viator
Versailles Best of Domain Skip-the-Line Access Day Tour with Lunch from Paris,Excellent,545 ratings,£206,8 hours,Viator
Private Guided Tour on a Vintage Sidecar from 1 Hour to 7 Hour,Excellent,515 ratings,£77,1-7 hours,Viator
Paris Eiffel Tower Guided Tour with Access Via Lift,Excellent,513 ratings,£36,1-2 hours,Viator
Montmartre Hill Sweet & Savory French Gourmet Food & Wine Tasting Tour,Excellent,465 ratings,£78,3-4 hours,Viator
Giverny and Monet's Garden Tour,Excellent,433 ratings,£84,9 hours,Viator
Skip the Line: Small-Group Eiffel Tower Sunset Tour,Excellent,425 ratings,£42,1-2 hours,Viator
Louvre Museum Skip-the-line Access Private Guided Tour,Excellent,422 ratings,£89,2-3 hours,Viator
Tuktuk in Paris © Private City Tour,Excellent,414 ratings,£69,1-8 hours,Viator
Paris Private Romantic Horse & Carriage Ride,Excellent,373 ratings,£213,1 hour,Viator
Paris Local Districts and Stories Off the Beaten Track Guided Bike Tour,Excellent,372 ratings,£38,3-4 hours,Viator
Paris Catacombs: Special Access Small Group Tour,Excellent,372 ratings,£72,2 hours,GetYourGuide
Versailles: Food & Palace Bike Tour,Excellent,367 ratings,£111,8 hours,Viator
Discover Paris by Night in a Vintage Car with a Local,Excellent,367 ratings,£42,1 hour,GetYourGuide
Paris Small Group or Private Walking Tour: Secret Sites and Hidden Gems,Excellent,350 ratings,£52,3 hours,Viator
Paris Segway Express Tour (12 monuments in 1 hour and 15 minutes),Excellent,346 ratings,£30,1 hour,Viator
Skip-the-Line: Paris Catacombs Guided Tour with VIP Access,Excellent,343 ratings,£76,2 hours,GetYourGuide
"Montmartre Walking Tour: Paris' Best Art, Culture and Food",Excellent,340 ratings,£25,2 hours,Viator
Paris: the Amazing Segway tour (Eiffel Tower and more than 20 other points of interest),Excellent,335 ratings,£50,2-3 hours,Viator
Paris by Night,Excellent,335 ratings,£114,2-3 hours,Viator
Marais The Original District Food & Wine Tasting Tour,Excellent,316 ratings,£94,3-4 hours,Viator
Normandy D-Day Landing Beaches Day Trip with Cider Tasting & Lunch from Paris,Excellent,295 ratings,£144,14 hours,Viator
Paris Père Lachaise Cemetery: Famous Graves of Paris Walking Tour,Excellent,283 ratings,£10,2 hours,Viator
Giverny including Monet’s Gardens and Gravesite Small-Group Half-Day Trip,Excellent,282 ratings,£76,4-5 hours,Viator
Small Group Paris Catacombs Special Access Tour,Excellent,280 ratings,£76,2 hours,Viator
Paris Moulin Rouge Cabaret Show with VIP Seating & Champagne,Excellent,272 ratings,£179,2 hours,Viator
"Sports, fun and educational discovery of Paris",Excellent,256 ratings,£88,2-3 hours,Viator
Somme Battlefields Small-Group Day Trip with John Monash Centre from Paris,Excellent,250 ratings,£186,11 hours,Viator
